title,star,review,date,help,,
Best,5.0 out of 5 stars,"I loved it, best item best for oily skin",Reviewed in India on 10 May 2021,,,
Use it to beleive it,5.0 out of 5 stars,The scent is awesome. I love such ethnic smells. Great on sensitive skin,Reviewed in India on 16 March 2021,,,
"Awesome product, Skin feels clean and moisturized.",5.0 out of 5 stars,A good Its very gentle and just a small quantity gives you the required lather. Skin feels clean and moisturized.Good for sensitive/combination skin.,Reviewed in India on 13 November 2020,,,
Not an original product,3.0 out of 5 stars,Its not an original product,Reviewed in India on 25 March 2021,,,
Broken nozzle,4.0 out of 5 stars,Product is good. But received broken nozzle. Please replace the item.,Reviewed in India on 21 January 2020,,,
Not worth,1.0 out of 5 stars,Smells like having so much parfume in it,Reviewed in India on 25 August 2022,One person found this helpful,,
Must have product.,4.0 out of 5 stars,Absolutely loved the product.Although the price is on the higher side.My skin really feels good after using this.Would have given it 5 stars if the price was not so high.,Reviewed in India on 19 July 2018,2 people found this helpful,,
Good cleanser,5.0 out of 5 stars,Good for face cleansing,Reviewed in India on 16 June 2021,,,
Nice natural cleanser,5.0 out of 5 stars,Really good non-chemical cleanser...comes in nice travel freindly packaging as well.,Reviewed in India on 3 March 2021,,,
It's low quantity,3.0 out of 5 stars,Gud,Reviewed in India on 1 April 2021,,,
Excellent,5.0 out of 5 stars,Superb product,Reviewed in India on 9 July 2021,,,
Dislike the packaging,3.0 out of 5 stars,Don't like the packaging,Reviewed in India on 27 January 2021,,,
Mild facewash,4.0 out of 5 stars,"Good facewash for daily use. Doesnt dry out skin. No side effects. Very mild, doesnt lather much. Cant remove makeup in 1 wash.Costly, but 1 bottle will easily last for 3 months.",Reviewed in India on 9 January 2018,3 people found this helpful,,
Good but expensive,4.0 out of 5 stars,I like the product but there are alternatives available at cheaper prices.,Reviewed in India on 30 August 2019,,,
A must buy,5.0 out of 5 stars,You will observe changes in one or two weeks....good facial cleanser,Reviewed in India on 3 February 2021,,,
Not for all skin types,2.0 out of 5 stars,"It is not for oily or even combination skin.. just to clean face thoroughly, you might need more qty than usual facewash.. Also scent seems artificial",Reviewed in India on 2 August 2021,,,
Very nice product. Must buy,5.0 out of 5 stars,It is really helpful for my skin.,Reviewed in India on 11 March 2021,,,
Premium is the word and I i love quality happy to see such quality products.,5.0 out of 5 stars,Overall,Reviewed in India on 8 July 2021,,,
Pleasant,5.0 out of 5 stars,It is the best face wash in the world. Absolutely am in love with it. The best for dry skin. Scent is not overwhelming. Its just soft and pleasant. Bit pricey but totally with the money. Love it,Reviewed in India on 26 May 2019,,,
For me its a big NO,1.0 out of 5 stars,"I heard about it a lot and give a try to use it but it didn't work for me at all, infact my whole face got damaged. Pimples pigmentation on my whole face after using it.",Reviewed in India on 11 May 2022,,,
It's v v nice product,5.0 out of 5 stars,V nice scent and v good cleaner for skins,Reviewed in India on 20 January 2021,,,
A must buy for soft and supple skin,5.0 out of 5 stars,one of the best face washes I have used really gentle and leaves skin soft and supple. Great for dry skin,Reviewed in India on 12 September 2020,One person found this helpful,,
Happy with the product,4.0 out of 5 stars,"This is a good and mild facewash with beautiful mild fragrance. Once you start using this, it's difficult to shift to any other brand. Although it's quite expensive but the quality is good.",Reviewed in India on 3 August 2017,One person found this helpful,,
Love it,5.0 out of 5 stars,best facewash😍 for oily skin as well as sensitive skin. My acne got cleared out in two week since I started this product:),Reviewed in India on 5 August 2020,,,
Excellent,5.0 out of 5 stars,Good quality,Reviewed in India on 30 May 2021,,,
Awesome product,5.0 out of 5 stars,This one is even better than the rose one for my sensitive combination skin. I love it. Bought it for second time straight.,Reviewed in India on 13 August 2020,One person found this helpful,,
Not for dry skin.,3.0 out of 5 stars,Not for dry skin for sure.,Reviewed in India on 7 October 2020,,,
Good and effective but costly,4.0 out of 5 stars,Good product.smell is Abit strong and does not lather much.,Reviewed in India on 17 June 2019,,,
Best for Oily skin + Acne,5.0 out of 5 stars,"It's a very worthy purchase for those who have acne or pimples issue due to oily skin . It worked like a charm for me. Haven't got a single blotch on my face after started using this product. At the end, its a decent product worth investing despite its high price.",Reviewed in India on 22 October 2017,One person found this helpful,,
Good,4.0 out of 5 stars,Superb but not great for oily skin,Reviewed in India on 13 October 2019,,,
"High price tag, but good on your skin",4.0 out of 5 stars,"Akin soothing experience, A bit high on price but a good product.+ve+ Smooth skin after every wash.+ no chemicals.+ remove excess oil.-ve- A bit high on price.",Reviewed in India on 4 March 2017,3 people found this helpful,,
Mild long lasting smell,4.0 out of 5 stars,Good natural product,Reviewed in India on 18 February 2020,,,
It is essential...,5.0 out of 5 stars,All time favourite,Reviewed in India on 6 April 2021,,,
Value for money,5.0 out of 5 stars,I did a very excellent product my skin is oily every time it is very helpful for my skin and it also give an even tone skin,Reviewed in India on 5 March 2020,,,
Perfect,5.0 out of 5 stars,"My wife uses it on daily basis and she hasn't any complaint till now. It might seems costly but it's a long lasting product. So, if you guys do little math the price would be same as any regular face wash.The main advantage is that it's 100% authentic Ayurvedic product.",Reviewed in India on 28 September 2017,One person found this helpful,,
Love this product,5.0 out of 5 stars,"The smell is good, easy on skin, leaves your skin moist and clean and not dry or oily at all",Reviewed in India on 2 August 2020,,,
Worst at packaging,5.0 out of 5 stars,Packet was torn. My product was visible when i recieved. But product was not damaged so i kept it. Product is awesome,Reviewed in India on 9 June 2020,,,
Good,4.0 out of 5 stars,"Good product, nice fragrance but makes the skin feel slightly dry. Very slightly though.",Reviewed in India on 31 December 2018,3 people found this helpful,,
Food,5.0 out of 5 stars,Good one,Reviewed in India on 22 April 2021,,,
Good but does no good to dead adamant skin,4.0 out of 5 stars,Good but does no good to dead adamant skin; needs a stronger version to deal with pigmentation and melasma,Reviewed in India on 11 June 2018,,,
Not worth and gives such feel.,1.0 out of 5 stars,Very common type cleanser,Reviewed in India on 7 August 2022,,,
Nice product.,5.0 out of 5 stars,I am Using it more than one month. My skin condition is improving. Thank you Amazon.,Reviewed in India on 1 September 2020,,,
Must buy thing,5.0 out of 5 stars,If u smell it You will realise why FI princes are so high!! Totally worth for money product,Reviewed in India on 14 August 2020,,,
If you have dry skin.then this is the one for you.,5.0 out of 5 stars,"For some one who has tried countless face washes with most of them drying up my skin,this is the only one(and i repeat the only one) that kept my face smooth and free from dryness.the price might be a bit high but then it can last around 2 to 3 months easily.go for it,you wont regret,i know i haven't",Reviewed in India on 18 July 2016,One person found this helpful,,
Buy directly from forest essentials,2.0 out of 5 stars,This one in particular from amazon Has an awful smell. Better to buy directly from forest essentials,Reviewed in India on 14 July 2021,,,
Very impressed,5.0 out of 5 stars,Great product,Reviewed in India on 20 March 2021,,,
Value for money.,4.0 out of 5 stars,I like this very much.,Reviewed in India on 5 October 2019,,,
Expected a bigger bottle,3.0 out of 5 stars,Small bottle🥺😖,Reviewed in India on 5 September 2020,,,
Nice one,5.0 out of 5 stars,"Smell is really good and soothing, very small amount is enough...but it's just a face wash nothing extraordinary....the only reason to buy this product is, it's ayurvedic and no harmful chemicals...previously I was using herbalife face wash and thats really good it always left a glow on my face....overall good product one can use... Shipping was before time....recommended seller and product....",Reviewed in India on 23 January 2016,2 people found this helpful,,
